-----Текст без пробілів-----
Біграмма 'ун': 0.0008549714409207151
Біграмма 'уо': 0.000308371074034966
Біграмма 'уп': 0.001324794993267021
Біграмма 'ур': 0.00032227304868408333
Біграмма 'ус': 0.0030799192927180824
Біграмма 'ут': 0.0021371126483324897
Біграмма 'уу': 0.00010205313208329305
Біграмма 'уф': 4.170592394735196e-05
Біграмма 'ух': 0.0006078954369295846
Біграмма 'уц': 9.38383288815419e-05
Біграмма 'уч': 0.001238539559648634
Біграмма 'уш': 0.0008739286790786024
Біграмма 'ущ': 0.0003642949266007334
Біграмма 'уэ': 2.085296197367598e-05
Біграмма 'ую': 0.0008489683155040508
Біграмма 'уя': 0.0001330166210745089
Біграмма 'фа': 0.0006458099132453591
Біграмма 'фб': 2.085296197367598e-05
Біграмма 'фв': 1.6113652434204166e-05
Біграмма 'фг': 9.794573048241747e-06
Біграмма 'фд': 7.898849232453022e-06
Біграмма 'фе': 0.00021737633087710718
Біграмма 'фж': 2.527631754384967e-06
Біграмма 'фз': 3.47549366227933e-06
Біграмма 'фи': 0.0003519727217981067
Біграмма 'фк': 6.95098732455866e-06
Біграмма 'фл': 2.2116777850868463e-05
Біграмма 'фм': 8.214803201751143e-06
Біграмма 'фн': 1.769342228069477e-05
Біграмма 'фо': 0.00013680806870608635
Біграмма 'фп': 1.453388258771356e-05
Біграмма 'фр': 0.00010205313208329305
Біграмма 'фс': 5.1500496995593705e-05
Біграмма 'фт': 7.26694129385678e-06
Біграмма 'фу': 6.382270179822042e-05
Біграмма 'фф': 3.7914476315774505e-05
Біграмма 'фх': 5.687171447366176e-06
Біграмма 'фц': 1.8957238157887253e-06
Біграмма 'фч': 1.5797698464906044e-06
Біграмма 'фш': 1.5797698464906044e-06
Біграмма 'фы': 2.780394929823464e-05
Біграмма 'фь': 1.5797698464906045e-05
