-----Текст із пробілами-----
Біграмма 'ук': 0.0012546035697558796
Біграмма 'ул': 0.0004916529569864872
Біграмма 'ум': 0.001200896901362175
Біграмма 'ун': 0.00016743843675684386
Біграмма 'уо': 2.3694118408987336e-06
Біграмма 'уп': 0.0010816365053702719
Біграмма 'ур': 0.00027564157749121937
Біграмма 'ус': 0.002883969112347242
Біграмма 'ут': 0.002005707123320778
Біграмма 'уф': 3.1987059852132904e-05
Біграмма 'ух': 0.0006693588450538923
Біграмма 'уц': 2.5273726302919825e-05
Біграмма 'уч': 0.0008747078712651159
Біграмма 'уш': 0.0010792670935293731
Біграмма 'ущ': 0.0004541372695055906
Біграмма 'уэ': 2.3694118408987336e-06
Біграмма 'ую': 0.001056362779067352
Біграмма 'уя': 5.765568812853585e-05
Біграмма 'фа': 0.0008052051239320863
Біграмма 'фб': 1.1847059204493668e-06
Біграмма 'фв': 3.5541177613481004e-06
Біграмма 'фг': 3.5541177613481004e-06
Біграмма 'фд': 3.159215787864978e-06
Біграмма 'фе': 0.0002673486360480738
Біграмма 'фи': 0.0003897682478278417
Біграмма 'фк': 3.159215787864978e-06
Біграмма 'фл': 2.764313814381856e-05
Біграмма 'фм': 9.872549337078057e-06
Біграмма 'фн': 1.2241961177976792e-05
Біграмма 'фо': 0.00015993529926066453
Біграмма 'фп': 1.579607893932489e-06
Біграмма 'фр': 0.00012281451375325102
Біграмма 'фс': 4.0280001295278474e-05
Біграмма 'фт': 6.713333549213079e-06
Біграмма 'фу': 7.819059074965821e-05
Біграмма 'фф': 4.5808628924042185e-05
Біграмма 'фх': 3.949019734831223e-06
Біграмма 'фц': 1.9745098674156113e-06
Біграмма 'фш': 1.579607893932489e-06
Біграмма 'фы': 3.475137366651476e-05
Біграмма 'фь': 1.9745098674156114e-05
Біграмма 'фя': 1.4611373018875524e-05
Біграмма 'ха': 0.0008304788502350062
Біграмма 'хб': 5.13372565528059e-06
Біграмма 'хв': 0.00020653373213167295
Біграмма 'хг': 7.898039469662445e-07
Біграмма 'хд': 1.1847059204493668e-06
Біграмма 'хе': 0.0002914376564305442
Біграмма 'хз': 2.764313814381856e-06
Біграмма 'хи': 0.00043636668069885014
Біграмма 'хл': 0.0002981509899797573
Біграмма 'хм': 1.8560392753706746e-05
Біграмма 'хн': 5.6865884181569607e-05
Біграмма 'хо': 0.002025057320021451
Біграмма 'хп': 3.5541177613481004e-06
Біграмма 'хр': 0.0007096388463491707
Біграмма 'хс': 9.754078745033121e-05
Біграмма 'хт': 7.898039469662445e-07
Біграмма 'ху': 0.00025787098868447885
Біграмма 'хф': 7.898039469662445e-07
Біграмма 'хц': 1.579607893932489e-06
Біграмма 'хш': 3.5541177613481004e-06
Біграмма 'хь': 3.9490197348312227e-07
Біграмма 'хю': 3.9490197348312227e-07
Біграмма 'ца': 0.003374832265386763
Біграмма 'цб': 7.898039469662445e-07
Біграмма 'цв': 5.212706049977214e-05
Біграмма 'цг': 5.13372565528059e-06
